0   I-129 PATNI COMPUTER SYSTEMS INC , 01/01/2002 , 01/01/2004
0   PATNI COMPUTER SYATEMS INC , 01/01/2002 , 01/01/2004
0   PATNI COMPUTER SYSTEMS INC , 01/01/2002 , 01/01/2004
0   "PATNI COMPUTER SYSTEMS INC" , 01/01/2002 , 01/01/2004
0   PATNIK COMPUTER SYSTEMS INC , 01/01/2002 , 01/01/2004
0   PATRI COMPUTER SYSETEMS INC , 01/01/2002 , 01/01/2004
0   PERRY DEAN ROGERS & PARTNERS , 01/01/2002 , 01/01/2004
95   KLA TENCOR CORP , 01/01/2002 , 01/01/2004
1   THE ELIOT HOTEL , 01/01/2002 , 01/01/2004
4   FIDELITY INVESTMENTS , 01/01/2002 , 01/01/2004
46   EMC CORP , 01/01/2002 , 01/01/2004
4549   EMC CORPORATION , 01/01/2002 , 01/01/2004
1295   BOSTON SCIENTIFIC CORPORATION , 01/01/2002 , 01/01/2004
5   BUTLER TELECOM INC , 01/01/2002 , 01/01/2004
956   ANALYSIS GROUP INC , 01/01/2002 , 01/01/2004
0   ISLAND INN CORP D/B/A CENTURY , 01/01/2002 , 01/01/2004
830   PTC , 01/01/2002 , 01/01/2004
0   BAIN & COMPANY INC , 01/01/2002 , 01/01/2004
61   VIACOM INC , 01/01/2002 , 01/01/2004
0   LEWTAN TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
0   BSST SOFTWARE GROUP INC DBA THE , 01/01/2002 , 01/01/2004
7   SAPIENT CORPORATION , 01/01/2002 , 01/01/2004
1   DARWIN PARTNERS INC , 01/01/2002 , 01/01/2004
10   TOTAL TECHNICAL SERVICES INC , 01/01/2002 , 01/01/2004
226   UNIVERSAL SOFTWARE CORPORATION , 01/01/2002 , 01/01/2004
0   SOFTWARE TECH INTL CORPORATION , 01/01/2002 , 01/01/2004
208   SOFTWARE TECHNOLOGY INTERNATIONAL , 01/01/2002 , 01/01/2004
0   SOFTWARE TECHNOLOGY INTL CORP , 01/01/2002 , 01/01/2004
0   REHABCARE GROUP INC , 01/01/2002 , 01/01/2004
0   THERMO ELECTRON CORP INFORMATICS & , 01/01/2002 , 01/01/2004
0   W A LEONARD & COMPANY P C , 01/01/2002 , 01/01/2004
0   CYBERSOUND INC , 01/01/2002 , 01/01/2004
3   SORRISO TECHNOLOGIES , 01/01/2002 , 01/01/2004
0   M & R CONSULTANTS CORP , 01/01/2002 , 01/01/2004
0   M&R CONSULTANTS CORP , 01/01/2002 , 01/01/2004
4   SILTEK CORPORATION , 01/01/2002 , 01/01/2004
112   SUMMIT INTERNATIONAL INC , 01/01/2002 , 01/01/2004
0   L E K CONSULTING LLC , 01/01/2002 , 01/01/2004
4   STEALTH COMPONENTS INC , 01/01/2002 , 01/01/2004
0   SLEEPYCAT SOFTWARE , 01/01/2002 , 01/01/2004
0   RKM RESEARCH AND COMMUNICATIONS , 01/01/2002 , 01/01/2004
0   TRANSEDA INC , 01/01/2002 , 01/01/2004
0   VISIONSOFT INC , 01/01/2002 , 01/01/2004
0   WEBJECT SYSTEMS INC , 01/01/2002 , 01/01/2004
108   COMVERSE INC , 01/01/2002 , 01/01/2004
1   DENTAL ARTS ASSOCIATES , 01/01/2002 , 01/01/2004
0   ICONSOFT INC , 01/01/2002 , 01/01/2004
0   WORLDCARE INTERNATIONAL INC , 01/01/2002 , 01/01/2004
0   SOFTWARE PUNDITS & ASSOCAITES LLC , 01/01/2002 , 01/01/2004
0   SOFTWARE PUNDITS & ASSOCIATES LLC , 01/01/2002 , 01/01/2004
0   BAHWAN CYBERTEK INC , 01/01/2002 , 01/01/2004
0   SURECOM INC , 01/01/2002 , 01/01/2004
0   AVCO CONSULTING INC , 01/01/2002 , 01/01/2004
0   "AVCO CONSULTING INC" , 01/01/2002 , 01/01/2004
0   TH ELECTRONICS COMPANY , 01/01/2002 , 01/01/2004
383   BBN TECHNOLOGIES CORP , 01/01/2002 , 01/01/2004
17   GLOBAL CONSULTING GROUP , 01/01/2002 , 01/01/2004
11   GLOBAL CONSULTING GROUP INC , 01/01/2002 , 01/01/2004
2   GO CONSULTING GROUP , 01/01/2002 , 01/01/2004
3   CYBER RESOURCE GROUP INC , 01/01/2002 , 01/01/2004
256   I-SERVICE INC , 01/01/2002 , 01/01/2004
225   I-SERVICES INC , 01/01/2002 , 01/01/2004
3   ATEL LLC , 01/01/2002 , 01/01/2004
4   FIDELITY INVESTMENTS , 01/01/2002 , 01/01/2004
167   IMPACT SOLUTIONS INC , 01/01/2002 , 01/01/2004
2   VESTMARK INC , 01/01/2002 , 01/01/2004
0   IKABIZ CORPORATION , 01/01/2002 , 01/01/2004
0   INTERSPED LOGISTICS GR BOSTON INC , 01/01/2002 , 01/01/2004
100   A123 SYSTEMS INC , 01/01/2002 , 01/01/2004
32   MASTERS INFORMATION TECHNOLOGY , 01/01/2002 , 01/01/2004
0   SSINFOTEK INC , 01/01/2002 , 01/01/2004
0   MASSACHUSETSS PREMIER SOCCER INC , 01/01/2002 , 01/01/2004
0   BABAK SHOUSHTARI DMD INC DBA LA JO , 01/01/2002 , 01/01/2004
0   L & Y MEDICAL ASSOCIATES P C , 01/01/2002 , 01/01/2004
0   NUMAL TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
0   KARL HAUSNER FARMS LLC , 01/01/2002 , 01/01/2004
2   GRANITE TELECOMMUNICATIONS LLC , 01/01/2002 , 01/01/2004
1198   CORPORATE AMERICA BUSINESS , 01/01/2002 , 01/01/2004
0   CORPORATE AMERICA BUSINESS SOLUTIO , 01/01/2002 , 01/01/2004
0   COMP CONSULTS INC , 01/01/2002 , 01/01/2004
0   DIVIHN INTEGRATION INC , 01/01/2002 , 01/01/2004
0   TURING CONSULTING INC , 01/01/2002 , 01/01/2004
3   PRIME SOFTWARE TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
0   AXIMON SOURCES LLC , 01/01/2002 , 01/01/2004
0   AXIOM SOURCES LLC , 01/01/2002 , 01/01/2004
0   SAINCE INC , 01/01/2002 , 01/01/2004
0   "SAINCE INC" , 01/01/2002 , 01/01/2004
0   REASONSOFT INC , 01/01/2002 , 01/01/2004
6   DQ LLC , 01/01/2002 , 01/01/2004
0   OPUSSOFT INC , 01/01/2002 , 01/01/2004
0   MICROAGILITY INC , 01/01/2002 , 01/01/2004
0   SEARCHFORCE INC , 01/01/2002 , 01/01/2004
2   UNITED CONSULTANCY SERVICES INC , 01/01/2002 , 01/01/2004
0   RANDOLPH PUBLIC SCHOOLS , 01/01/2002 , 01/01/2004
21   CVS PHARMACY , 01/01/2002 , 01/01/2004
21   CVS PHARMACY , 01/01/2002 , 01/01/2004
21   CVS PHARMACY , 01/01/2002 , 01/01/2004
0   LONG-TERM CARE PSYCHIATRY INC , 01/01/2002 , 01/01/2004
0   YOKOWO MANUFACTURING AMERICA LLC , 01/01/2002 , 01/01/2004
0   LAZARD ASSET MANAGEMENT LLC , 01/01/2002 , 01/01/2004
377   SPEED MEDIA LLC , 01/01/2002 , 01/01/2004
44   CREDIT SUISSE SECURITIES USA LLC , 01/01/2002 , 01/01/2004
4   SWASTIK LTD , 01/01/2002 , 01/01/2004
0   STARPOINT SOLUTIONS , 01/01/2002 , 01/01/2004
0   STARPOINT SOLUTIONS INC , 01/01/2002 , 01/01/2004
0   DOCHANTSCHI INC , 01/01/2002 , 01/01/2004
0   SALMONBEACH & ASSOC PLLC , 01/01/2002 , 01/01/2004
19   DSL TECHNOLOGIES LLC , 01/01/2002 , 01/01/2004
3   A-3 ACQUISITION CORP D/B/A , 01/01/2002 , 01/01/2004
3   UNITED ELECTORNICS CORP INC , 01/01/2002 , 01/01/2004
22   SIPORT INC , 01/01/2002 , 01/01/2004
263   MEDICAL DYNAMIC SYSTEMS INC , 01/01/2002 , 01/01/2004
3038   PITNEY BOWES INC , 01/01/2002 , 01/01/2004
28   BEEKLEY CORPORATION , 01/01/2002 , 01/01/2004
0   MIDSTATE MED CTR , 01/01/2002 , 01/01/2004
0   M S SAVANI ARCHITECT , 01/01/2002 , 01/01/2004
143   SEITZ CORPORATION , 01/01/2002 , 01/01/2004
1   MASAS INC , 01/01/2002 , 01/01/2004
744   GENZYME CORPORATION , 01/01/2002 , 01/01/2004
134312   UNITED INTERNATIONAL CORPORATION , 01/01/2002 , 01/01/2004
176   GREENWICH ASSOCIATES , 01/01/2002 , 01/01/2004
0   KBC ELECTRONICS INC , 01/01/2002 , 01/01/2004
2   QUALTECH SYSTEMS INC , 01/01/2002 , 01/01/2004
0   ANA-DATA CONSULTING INC , 01/01/2002 , 01/01/2004
0   SMITH HANLEY CONSULTING GR LLC A , 01/01/2002 , 01/01/2004
0   MAGNA INFOTECH LTD , 01/01/2002 , 01/01/2004
58   GRT INC , 01/01/2002 , 01/01/2004
1   DELOITTE CONSULTING LLP , 01/01/2002 , 01/01/2004
0   DELOITTE CONSULTNG LLP , 01/01/2002 , 01/01/2004
0   LOGICSOFT INC , 01/01/2002 , 01/01/2004
0   FRAN TAUBMAN STUDIO , 01/01/2002 , 01/01/2004
21   CVS PHARMACY , 01/01/2002 , 01/01/2004
2   WATSON RICE LLP , 01/01/2002 , 01/01/2004
53   THE MANITOWOC COMPANY INC , 01/01/2002 , 01/01/2004
1   COLLEGE COMPASS INC , 01/01/2002 , 01/01/2004
49   ANTIGENICS INC , 01/01/2002 , 01/01/2004
0   ECBYTES INC , 01/01/2002 , 01/01/2004
38   SYNCHRONOSS TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
0   RAGING KNOWLEDGE EDUCATIONAL SVCS , 01/01/2002 , 01/01/2004
0   HALLMARK GLOBAL TECHNOLGIES INC , 01/01/2002 , 01/01/2004
0   HALLMARK GLOBAL TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
1   QUALITY DENTAL CENTER PC , 01/01/2002 , 01/01/2004
0   VENSAI TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
0   ARCHEUS CAPITAL MANAGEMENT LLC , 01/01/2002 , 01/01/2004
0   PEGASYS SYSTEMS & TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
1056   BAYER MATERIALSCIENCE LLC , 01/01/2002 , 01/01/2004
0   MICHAEL KORS USA INC , 01/01/2002 , 01/01/2004
0   SAPOT SYSTEMS INC , 01/01/2002 , 01/01/2004
0   INGENIOUS TECHNOLOGIES , 01/01/2002 , 01/01/2004
0   XYLOTECH SYSTEMS INC , 01/01/2002 , 01/01/2004
0   NAILGUN , 01/01/2002 , 01/01/2004
117   SYMBOL SOFTWARE SERVICES INC , 01/01/2002 , 01/01/2004
28   SYMBOL SOFTWARE SOLUTIONS INC , 01/01/2002 , 01/01/2004
0   BAY AREA TECH SCH , 01/01/2002 , 01/01/2004
0   BAY AREA TECHNOLOGY SCHOOL , 01/01/2002 , 01/01/2004
1   GROUPWARE SOLUTIONS INC , 01/01/2002 , 01/01/2004
0   VIT CONSULTANCY INC , 01/01/2002 , 01/01/2004
699   CITY OF STAMFORD , 01/01/2002 , 01/01/2004
416   NOVA WORLD INC , 01/01/2002 , 01/01/2004
10   FORD MODELS INC , 01/01/2002 , 01/01/2004
0   MANUEL R ARTEAGA D D S INC DBA INL , 01/01/2002 , 01/01/2004
82   STANDARD MOTOR PRODUCTS INC , 01/01/2002 , 01/01/2004
34   "STANDARD MOTOR PRODUCTSINC" , 01/01/2002 , 01/01/2004
667   PALL CORPORATION , 01/01/2002 , 01/01/2004
0   KURT WEISS GREENHOUSE INC , 01/01/2002 , 01/01/2004
0   KURT WEISS GREENHOUSES INC , 01/01/2002 , 01/01/2004
0   SLATTERY SKANSKA INC , 01/01/2002 , 01/01/2004
2864   SYMBOL TECHNOLOGIES INC , 01/01/2002 , 01/01/2004
36   CITIGROUP GLOBAL MARKETS INC , 01/01/2002 , 01/01/2004
1   INTERPHARM INC , 01/01/2002 , 01/01/2004
3   B&B ITALIA USA INC , 01/01/2002 , 01/01/2004
0   INTELLIGROUP INC , 01/01/2002 , 01/01/2004
326   KEY MANAGEMENT GROUP INC , 01/01/2002 , 01/01/2004
0   RUDELL & ASSOCIATES INC , 01/01/2002 , 01/01/2004
7   VEECO METROLOGY LLC , 01/01/2002 , 01/01/2004
